jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;csu1;csu2;spd1;spd2;fdp1;fdp2;gru1;gru2;pds1;pds2
1990;245;Saarbrücken II;10;0;166769;143132;140590;141115;55311;52878;0;0;73624;74681;5665;7823;3158;2468;0;192
1990;246;Saarlouis;10;0;174480;149828;146750;147362;60025;59259;0;0;73318;73233;6310;8199;3904;3009;0;152
1990;247;Sankt Wendel;10;0;171959;151835;148934;149530;65419;63746;0;0;72563;73315;4881;6597;3383;2663;0;135
1990;248;Homburg;10;0;176525;148257;145111;145980;53197;53811;0;0;76051;76285;9152;8862;4936;3304;0;253
1990;249;Berlin-Tiergarten – Wedding – Nord-Charlottenburg;11;0;195078;154168;149154;151007;68080;67235;0;0;49844;49329;9349;11723;12978;9987;0;2158
1990;250;Berlin-Reinickendorf;11;0;197612;169086;164858;166362;89663;88402;0;0;49833;47010;13120;17593;4561;4100;0;908
1990;251;Berlin-Spandau;11;0;165196;139164;135331;136714;68491;67757;0;0;46444;44131;10190;13242;3790;3427;0;1031
1990;252;Berlin-Zehlendorf – Steglitz;11;0;180699;157886;154430;156018;79783;75857;0;0;46619;43656;14955;20896;8854;7795;0;1442
1990;253;Berlin-Charlottenburg – Wilmersdorf;11;0;224481;187858;183162;185167;84754;82130;0;0;60718;57923;16885;21963;13957;12374;0;2313
1990;254;Berlin-Kreuzberg – Schöneberg;11;0;197315;156195;150968;153294;57435;56666;0;0;53816;51465;8575;11291;23940;18920;0;5149
1990;255;Berlin-Tempelhof  – Südost-Steglitz;11;0;192546;166531;162295;164026;91441;89219;0;0;45563;44169;13253;17284;5088;4481;0;1055
1990;256;Berlin-Neukölln;11;0;220391;180611;175462;177309;89897;89693;0;0;55782;52400;10107;13779;9739;8103;0;2278
1990;257;Berlin-Mitte – Prenzlauer Berg – Weißensee I;11;0;197238;146608;141891;144495;35539;35002;0;0;52678;44792;9661;10224;0;2470;38079;33712
1990;258;Berlin-Pankow – Hohenschönhausen – Weißensee II;11;0;185555;142509;138323;140620;32510;35886;0;0;50416;43760;12890;11362;0;1923;36405;33668
1990;259;Berlin-Friedrichshain – Treptow – Lichtenberg I;11;0;195846;149417;145343;147431;35219;34092;0;0;52410;47440;10357;10818;0;2082;41390;37847
1990;260;Berlin-Köpenick – Lichtenberg II;11;0;194481;153114;148490;151179;37534;36060;0;0;55663;49239;13259;12974;0;1991;39000;36035
1990;261;Berlin-Hellersdorf – Marzahn;11;0;190872;140747;138350;139055;35232;34515;0;0;37280;41006;9404;10631;0;1539;43912;38017
1990;262;Wismar – Gadebusch – Grevesmühlen – Doberan – Bützow;12;0;171148;122975;120417;121117;54479;49851;0;0;40115;37287;10718;11770;0;0;14322;13302
1990;263;Schwerin – Hagenow;12;0;171700;125331;122643;123642;45692;44123;0;0;41180;35255;15416;13418;0;0;19348;18454
1990;264;Güstrow – Sternberg – Lübz – Parchim – Ludwigslust;12;0;167485;122394;114166;120081;53958;51330;0;0;45021;32661;13955;12007;0;0;0;13967
1990;265;Rostock;12;0;188038;129934;127690;128579;40572;38804;0;0;43899;36740;15011;13416;0;0;27049;24626
1990;266;Rostock-Land – Ribnitz-Damgarten – Teterow – Malchin;12;0;126335;90179;87707;88453;41061;40183;0;0;23597;21657;10886;9036;0;0;11361;10542
1990;267;Stralsund – Rügen – Grimmen;12;0;160519;109420;106346;106991;51551;50297;0;0;30159;26480;8161;7395;0;0;15735;14993
1990;268;Greifswald – Wolgast – Demmin;12;0;141706;99118;96282;97020;50606;49506;0;0;22376;19390;9359;7318;0;0;13941;13356
1990;269;Neubrandenburg – Altentreptow – Waren – Röbel;12;0;151628;108611;105964;106645;45276;42062;0;0;28567;27156;8673;9095;0;0;22501;17846
