jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
2002;187;Darmstadt;6;0;229095;185863;182392;88041;73139;65393;58383;0;0;14755;28844;8368;14594;2114;2896
2002;188;Odenwald;6;0;231299;189584;185750;84190;73677;76042;71965;0;0;9406;17905;11425;14840;2426;2108
2002;189;Bergstraße;6;0;196599;158915;155794;70393;61830;67537;61007;0;0;6464;14374;6762;12345;1233;1434
2002;190;Eichsfeld - Nordhausen;15;1;168250;127837;126093;43503;46428;51930;47930;0;0;3123;4257;6424;7300;19002;16225
2002;191;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis I;15;1;185691;138303;136346;57851;56859;44419;41055;0;0;4471;5202;7258;7698;21844;20701
2002;192;Kyffhäuserkreis - Sömmerda - Unstrut-Hainich-Kreis II;15;1;205199;150325;147694;63322;60564;45206;43692;0;0;3593;4931;8821;8459;26410;24875
2002;193;Gotha - Ilm-Kreis;15;1;220101;166006;163665;68076;66231;50151;48951;0;0;4814;6321;10573;9493;29106;26509
2002;194;Erfurt;15;1;161977;121524;120183;50299;49261;33078;29273;0;0;5523;8209;5025;6494;24815;22866
2002;195;Jena - Weimar - Weimarer Land;15;1;204557;156448;154509;68286;61137;40385;39853;0;0;8034;12199;11117;10097;25934;25563
2002;196;Gera - Saale-Holzland-Kreis;15;1;166101;125039;123343;44947;48681;33315;32513;0;0;3631;4595;7701;7476;30796;24800
2002;197;Greiz - Altenburger Land;15;1;194424;143780;141583;54964;55489;46810;43152;0;0;4135;4740;10326;9388;24691;22998
2002;198;Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis;15;1;243395;181757;179210;74371;71786;55783;53347;0;0;4090;5818;10134;9828;33079;31686
2002;199;Suhl - Schmalkalden-Meiningen - Hildburghausen;15;1;215683;159322;157073;55731;62290;49967;46396;0;0;3991;5527;7544;8649;39313;29566
2002;200;Neuwied;7;0;241016;192672;190028;85110;73235;83950;79365;0;0;5791;13318;11118;17222;1897;1807
2002;201;Ahrweiler;7;0;191068;152366;150140;62886;50594;71726;69227;0;0;0;11103;13970;14785;0;1184
2002;202;Koblenz;7;0;195810;155023;153005;65555;59575;67119;62672;0;0;7499;12308;9574;13696;1459;1482
2002;203;Mosel/Rhein-Hunsrück;7;0;179555;145190;142877;49428;47496;69106;66431;0;0;6982;8807;16014;15537;0;1208
2002;204;Kreuznach;7;0;191397;149008;145762;68079;61673;57941;53098;0;0;5597;10428;10234;14800;2059;1519
2002;205;Bitburg;7;0;168254;134022;131931;46681;42850;68360;63835;0;0;6463;8587;9268;12692;0;891
2002;206;Trier;7;0;183493;145225;143112;62231;57239;58920;55182;0;0;8912;14038;7701;11977;1399;1444
2002;207;Montabaur;7;0;209140;168795;166367;63581;63641;75970;70162;0;0;9878;10940;12624;15384;1988;1543
2002;208;Mainz;7;0;234462;192698;190628;78287;71246;69174;68843;0;0;14774;23581;21154;18968;2071;2527
2002;209;Worms;7;0;195114;157318;154864;75395;63963;56636;55594;0;0;8692;12736;12879;15212;0;1676
2002;210;Ludwigshafen/Frankenthal;7;0;215320;172136;169601;79930;70089;69088;63513;0;0;6799;13010;9155;13854;1973;1911
2002;211;Neustadt - Speyer;7;0;217054;177855;175180;74711;63201;76914;70631;0;0;9111;16235;12447;16307;0;1796
2002;212;Kaiserslautern;7;0;235024;181694;178121;88335;79672;64737;59458;0;0;8880;13673;12190;15333;2971;2018
2002;213;Pirmasens;7;0;188666;149155;145690;60487;54299;65148;61306;0;0;5308;8347;10520;12495;2896;1532
2002;214;Südpfalz;7;0;205703;168303;165480;66173;59963;71837;67694;0;0;9103;13534;12749;15499;1742;1561
2002;215;Altötting;9;0;247852;204334;202924;50003;41635;0;0;132524;132557;10205;13971;6635;8690;1669;1233
2002;216;Freising;9;0;245476;203047;201934;45777;43846;0;0;125274;127907;12440;14988;11072;9110;1908;1386
2002;217;Fürstenfeldbruck;9;0;238437;201675;200441;54260;47819;0;0;118097;116387;14060;20367;8415;10161;1761;1317
2002;218;Ingolstadt;9;0;240121;193458;191820;45319;48902;0;0;124699;120218;11975;10710;4904;6852;2081;1152
2002;219;München-Nord;9;0;203053;159323;158376;68635;48611;0;0;68287;68765;11164;25839;6655;9751;1430;2053
