jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;spd1;spd2;fdp1;fdp2;csu1;csu2;gru1;gru2;pds1;pds2
1994;62;Köln IV;5;0;166691;128359;125514;126393;44020;39454;63495;60014;3842;9164;0;0;9525;11585;1227;1870
1994;63;Bonn;5;0;218877;184601;181523;181523;81408;70740;67614;58360;8544;21366;0;0;15495;22710;1570;2896
1994;64;Rhein-Sieg-Kreis I;5;0;202774;170094;165989;167094;76055;69970;67795;62963;6558;15027;0;0;12070;12870;0;1528
1994;65;Rhein-Sieg-Kreis II;5;0;190048;163220;159067;160234;79208;72415;59945;50157;6694;18075;0;0;9778;13669;0;1351
1994;66;Oberbergischer Kreis;5;0;201690;167513;163092;164226;79654;71981;64849;62753;5916;13242;0;0;9343;10670;0;1135
1994;67;Rheinisch-Bergischer Kreis I;5;0;169154;144156;141269;142340;68749;59928;51306;48391;7306;16391;0;0;10585;12233;0;1209
1994;68;Leverkusen - Rheinisch-Bergischer Kreis II;5;0;152073;125033;122543;123350;50703;46103;53843;51661;4845;10731;0;0;9391;9641;734;1103
1994;69;Wuppertal I;5;0;143945;116030;114246;114130;42122;38932;51986;47423;7530;10948;0;0;7826;11054;1208;1847
1994;70;Wuppertal II;5;0;133021;105502;103494;103475;38526;35009;50405;46032;3723;8402;0;0;6596;8357;855;1391
1994;71;Solingen - Remscheid;5;0;206321;164796;161792;162032;69149;58232;72253;67121;6979;17860;0;0;8070;10968;1302;2137
1994;72;Mettmann I;5;0;202411;168087;164853;165456;75488;65072;68387;63855;6162;16786;0;0;11368;13092;1179;1656
1994;73;Mettmann II;5;0;171510;141922;139174;139652;66687;53476;57495;57145;4209;14018;0;0;7898;9492;0;1457
1994;74;Düsseldorf I;5;0;221261;177923;175470;175374;77059;65722;71004;64754;8626;19970;0;0;14185;17332;0;2500
1994;75;Düsseldorf II;5;0;201655;158749;156116;155940;59315;54038;73065;67413;5119;11764;0;0;12752;14934;1710;2509
1994;76;Neuss I;5;0;151198;123295;121180;121134;59968;53077;47528;45349;3500;9997;0;0;6114;7715;725;1046
1994;77;Neuss II;5;0;165362;139452;137041;137147;68201;61067;53674;48810;4997;14043;0;0;8055;8921;887;1038
1994;78;Mönchengladbach;5;0;199897;151832;148656;149161;66984;62026;60443;57788;8133;13304;0;0;9820;10699;1017;1277
1994;79;Krefeld;5;0;173638;136068;133082;133590;64756;53677;51565;52576;3223;11750;0;0;9549;10237;793;1262
1994;80;Viersen;5;0;209870;170863;167790;167642;83233;74219;63822;61314;6777;15695;0;0;10448;11012;864;1177
1994;81;Kleve;5;0;203993;168430;163564;164280;83264;78503;62749;60091;6638;12266;0;0;8744;9128;0;866
1994;82;Wesel I;5;0;176646;145912;143289;143445;53188;49205;75222;69204;4279;10781;0;0;7641;9737;784;1106
1994;83;Wesel II;5;0;161886;133718;130977;131446;46463;42763;67904;66737;4762;8400;0;0;8189;8832;784;989
