jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;fdp1;fdp2;pds1;pds2;gru1;gru2;csu1;csu2
2009;186;Darmstadt;6;0;233622;176435;173385;60581;43605;60536;49924;13553;26539;11213;14869;20963;29727;0;0
2009;187;Odenwald;6;0;234911;176808;171849;50797;42756;69191;56677;18409;29697;11574;13403;16215;19379;0;0
2009;188;Bergstraße;6;0;199708;148308;145600;44903;35748;64472;50275;12966;25219;9171;10891;11296;15683;0;0
2009;189;Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I;16;1;204717;136404;134859;22854;22341;57882;51863;9942;14382;33005;32391;5540;6507;0;0
2009;190;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II;16;1;201700;131047;129135;29106;23845;44903;42063;8211;11921;35666;36508;4921;6451;0;0
2009;191;Kyffhäuserkreis - Sömmerda - Weimarer Land I;16;1;200901;127925;126083;22819;21692;42674;39696;9800;12661;39568;37923;5754;6064;0;0
2009;192;Gotha - Ilm-Kreis;16;1;214510;139919;137948;37032;27092;40063;42479;10056;12393;35942;38257;7391;7608;0;0
2009;193;Erfurt - Weimar - Weimarer Land II;16;1;225708;151236;149598;33488;26897;45931;41777;8897;13429;43050;41801;12137;15630;0;0
2009;194;Gera - Jena - Saale-Holzland-Kreis;16;1;245228;164803;162910;34658;28034;46590;44951;15695;16832;49344;48724;11471;13243;0;0
2009;195;Greiz - Altenburger Land;16;1;182336;116989;115246;20224;19006;42988;37841;9237;12557;33672;33017;4196;4919;0;0
2009;196;Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis;16;1;231447;148939;147094;27824;25004;46726;44770;12534;14342;45820;45439;5684;6654;0;0
2009;197;Suhl - Schmalkalden-Meiningen - Hildburghausen;16;1;207012;130502;128896;27055;22682;39600;38338;10313;12118;41361;40815;5936;6762;0;0
2009;198;Neuwied;7;0;242568;172799;170064;61544;42279;66214;61307;17881;28754;11331;15360;9518;14005;0;0
2009;199;Ahrweiler;7;0;195658;139346;137159;33987;28973;62145;54737;20470;25933;8310;10171;10094;11622;0;0
2009;200;Koblenz;7;0;196560;138790;136237;38080;32414;59853;49065;13084;23679;9935;11239;13222;13732;0;0
2009;201;Mosel/Rhein-Hunsrück;7;0;179373;130191;127556;29859;26447;60105;50302;15714;24248;9035;10568;9724;10265;0;0
2009;202;Kreuznach;7;0;190569;133191;130733;37332;34984;61167;43300;8684;21190;11579;14197;8768;11065;0;0
2009;203;Bitburg;7;0;168357;120001;117611;28042;22419;53705;48270;16213;22500;8043;9642;9274;9922;0;0
2009;204;Trier;7;0;191691;138338;136010;34948;30348;61594;50210;11237;20354;11583;13070;14109;16456;0;0
2009;205;Montabaur;7;0;213225;154343;151645;44416;36122;65215;53078;16541;28104;11884;13186;10685;13047;0;0
2009;206;Mainz;7;0;251837;191097;188478;57338;43303;68081;61777;22054;29045;10737;13922;23696;29745;0;0
2009;207;Worms;7;0;202156;147381;144593;54255;39125;51892;46831;14051;22748;10218;12098;10515;14609;0;0
2009;208;Ludwigshafen/Frankenthal;7;0;217445;153455;150711;48713;40325;57736;48785;12878;22392;13002;15457;9277;12919;0;0
2009;209;Neustadt - Speyer;7;0;220974;164052;161168;40404;36117;71481;57953;14870;26988;12546;13486;13748;16485;0;0
2009;210;Kaiserslautern;7;0;235030;163350;160184;55070;44362;52311;45212;14725;22932;22205;22670;10834;13936;0;0
2009;211;Pirmasens;7;0;184220;131065;127860;34342;28982;50035;44143;14105;19605;15989;16977;8840;8528;0;0
